order_id,quantity,month_name,day_name,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,03,Saturday,12,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
2,2,04,Friday,12,32.0,32.0,M,Veggie,The Mediterranean Pizza
1,1,02,Sunday,11,20.75,20.75,L,Supreme,The Italian Supreme Pizza
1,1,05,Monday,17,20.5,20.5,L,Classic,The Classic Deluxe Pizza
1,1,03,Saturday,17,16.5,16.5,M,Supreme,The Spicy Italian Pizza
3,4,04,Wednesday,13,53.849999999999994,71.8,L,Veggie,The Four Cheese Pizza
2,2,01,Saturday,13,24.0,24.0,S,Classic,The Classic Deluxe Pizza
2,2,03,Thursday,13,42.0,42.0,L,Veggie,The Italian Vegetables Pizza
1,1,03,Sunday,18,20.25,20.25,L,Veggie,The Mediterranean Pizza
1,1,04,Tuesday,19,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza
2,2,02,Monday,16,24.0,24.0,S,Classic,The Italian Capocollo Pizza
1,1,04,Sunday,16,16.25,16.25,M,Supreme,The Calabrese Pizza
1,1,02,Saturday,12,12.0,12.0,S,Classic,The Classic Deluxe Pizza
2,3,03,Tuesday,13,41.5,62.25,L,Chicken,The California Chicken Pizza
1,1,05,Wednesday,12,16.75,16.75,M,Chicken,The Thai Chicken Pizza
1,1,02,Sunday,22,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
1,1,03,Monday,11,16.5,16.5,M,Supreme,The Pepper Salami Pizza
2,2,06,Thursday,18,41.0,41.0,L,Classic,The Classic Deluxe Pizza
1,1,02,Tuesday,20,16.0,16.0,M,Classic,The Classic Deluxe Pizza
1,1,05,Monday,21,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,04,Friday,20,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
2,2,01,Wednesday,19,37.0,37.0,L,Veggie,The Five Cheese Pizza
4,4,04,Sunday,17,48.0,48.0,S,Classic,The Classic Deluxe Pizza
1,1,01,Sunday,18,16.5,16.5,L,Classic,The Hawaiian Pizza
3,4,05,Thursday,12,36.0,48.0,S,Classic,The Big Meat Pizza
1,1,05,Saturday,19,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
2,2,01,Monday,16,41.5,41.5,L,Veggie,The Spinach Pesto Pizza
1,1,06,Monday,11,20.75,20.75,L,Supreme,The Italian Supreme Pizza
2,2,06,Monday,14,25.5,25.5,S,Chicken,The California Chicken Pizza
1,1,01,Saturday,17,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
1,1,03,Thursday,21,12.75,12.75,S,Chicken,The Thai Chicken Pizza
1,1,06,Saturday,21,16.75,16.75,M,Veggie,The Italian Vegetables Pizza
1,1,06,Thursday,12,12.25,12.25,S,Supreme,The Calabrese Pizza
2,2,06,Saturday,21,24.0,24.0,S,Classic,The Napolitana Pizza
2,2,03,Monday,16,40.5,40.5,L,Veggie,The Mediterranean Pizza
1,1,06,Thursday,18,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
2,2,03,Saturday,19,21.0,21.0,S,Classic,The Hawaiian Pizza
1,1,02,Sunday,17,20.5,20.5,L,Classic,The Napolitana Pizza
1,1,02,Saturday,14,16.5,16.5,M,Veggie,The Spinach Pesto Pizza
2,2,01,Saturday,12,41.5,41.5,L,Supreme,The Spinach Supreme Pizza
1,1,04,Wednesday,20,16.5,16.5,M,Supreme,The Italian Supreme Pizza
1,1,04,Monday,11,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
1,1,02,Wednesday,12,12.25,12.25,S,Supreme,The Sicilian Pizza
2,2,06,Monday,20,33.5,33.5,M,Chicken,The California Chicken Pizza
2,2,08,Sunday,17,32.0,32.0,M,Classic,The Classic Deluxe Pizza
2,3,10,Thursday,19,33.5,50.25,M,Chicken,The California Chicken Pizza
1,1,12,Thursday,17,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
2,2,08,Wednesday,14,33.0,33.0,M,Supreme,The Italian Supreme Pizza
1,1,11,Saturday,18,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
2,3,07,Wednesday,13,41.5,62.25,L,Chicken,The Thai Chicken Pizza
2,2,07,Friday,15,35.9,35.9,L,Veggie,The Four Cheese Pizza
1,1,12,Monday,19,16.5,16.5,M,Supreme,The Spicy Italian Pizza
2,2,08,Wednesday,16,24.0,24.0,S,Classic,The Classic Deluxe Pizza
2,2,08,Wednesday,19,32.0,32.0,M,Classic,The Classic Deluxe Pizza
1,1,11,Tuesday,14,12.0,12.0,S,Classic,The Classic Deluxe Pizza
2,2,09,Wednesday,17,25.0,25.0,S,Supreme,The Pepper Salami Pizza
1,1,12,Monday,12,16.5,16.5,M,Supreme,The Italian Supreme Pizza
3,3,11,Sunday,19,36.0,36.0,S,Classic,The Big Meat Pizza
1,1,09,Thursday,19,16.75,16.75,M,Chicken,The Thai Chicken Pizza
